학년도, 학기, 조직분류, 교과목명, 교과목번호, 분반, 요일, 시작교시, 종료교시, 건물, 호실, 시간, 교수자
2020, CMN17.10, CMN12.03, 유기화학 I(이), SE245d, 1, CMN44.4, UCS05.13, UCS05.15,E7,223,목요일14:30~16:00, 정병혁 
2020, CMN17.10, CMN12.03, 무기화학 II(이), SE343a, 1, CMN44.1, UCS05.03, UCS05.05,E7,L31,월요일9:30~11:00, 조재흥 박진희 이성기 
2020, CMN17.10, CMN12.03, 무기화학 II(이), SE343a, 1, CMN44.3, UCS05.05, UCS05.07,E7,L31,수요일10:30~12:00, 조재흥 박진희 이성기 
2020, CMN17.10, CMN12.03, 고분자개론(이공), SE441, 1, CMN44.2, UCS05.17, UCS05.19,E7,G01,화요일16:30~18:00, 정대성 
2020, CMN17.10, CMN12.03, 고분자개론(이공), SE441, 1, CMN44.5, UCS05.02, UCS05.04,E7,G01,금요일9:00~10:30, 정대성 
2020, CMN17.10, CMN12.03, 심화화학실험Ⅰ(유기.분석화학)(이), SE346a, 1, CMN44.1, UCS05.12, UCS05.19,E6,222,월요일14:00~18:00, 정병혁 정현숙 
2020, CMN17.10, CMN12.03, 심화화학실험Ⅰ(유기.분석화학)(이), SE346a, 2, CMN44.5, UCS05.10, UCS05.17,E6,222,금요일13:00~17:00, 정병혁 정현숙 
2020, CMN17.10, CMN12.03, 분자와 생명현상 실험, SE112, 1, CMN44.3, UCS05.04, UCS05.07,E4,225,수요일10:00~12:00, 이창훈 
2020, CMN17.10, CMN12.03, 분자와 생명현상 실험, SE112, 2, CMN44.2, UCS05.12, UCS05.15,E4,225,화요일14:00~16:00, 이상임 
2020, CMN17.10, CMN12.03, 분자와 생명현상 실험, SE112, 4, CMN44.3, UCS05.24, UCS05.27,E4,225,수요일20:00~22:00, 김대환 
2020, CMN17.10, CMN12.03, 세포와 생명현상, SE212, 1, CMN44.1, UCS05.10, UCS05.12,E7,242,월요일13:00~14:30, 김대환 
2020, CMN17.10, CMN12.03, 세포와 생명현상, SE212, 1, CMN44.4, UCS05.02, UCS05.04,E7,242,목요일9:00~10:30, 김대환 
2020, CMN17.10, CMN12.03, 세포와 생명현상, SE212, 2, CMN44.1, UCS05.03, UCS05.05,E7,241,월요일9:30~11:00, 김대환 
2020, CMN17.10, CMN12.03, 세포와 생명현상, SE212, 2, CMN44.5, UCS05.10, UCS05.12,E7,241,금요일13:00~14:30, 김대환 
2020, CMN17.10, CMN12.03, 세포와 생명현상, SE212, 3, CMN44.3, UCS05.05, UCS05.07,E7,241,수요일10:30~12:00, 조정아 
2020, CMN17.10, CMN12.03, 세포와 생명현상, SE212, 3, CMN44.5, UCS05.05, UCS05.07,E7,241,금요일10:30~12:00, 조정아 
