No,ClassType,ClassCode,Section,CourseName,Credit,Instructors,ClassSize,Request,Reject,PossibleClassrooms,SurveyCode
179,Required,HL105,5,Physical Education I: Taekwondo,4,Ji-Hoon.Lee,27,Thr-16:30~18:30,,28 29,112
180,Required,HL105,6,Physical Education I: Taekwondo,4,S.M.Kim,27,Thr-16:30~18:30,,28 29,112
181,Required,HL105,7,Physical Education I: Taekwondo,4,Ji-Hoon.Lee,27,Thr-18:30~20:30,,28 29,112
182,Required,HL105,8,Physical Education I: Taekwondo,4,S.M.Kim,27,Thr-18:30~20:30,,28 29,112
183,Required,HL107,1,Communication Skills,4,Anna,25,,9:00~10:00 Tue-12:00~14:00,6 7 15,111
184,Required,HL107,2,Communication Skills,4,Anna,25,,9:00~10:00 Tue-12:00~14:00,6 7 15,111
185,Required,HL107,3,Communication Skills,4,Philip,25,,9:00~10:00 Tue-12:00~14:00,6 7 15,111
186,Required,HL107,4,Communication Skills,4,Philip,25,,9:00~10:00 Tue-12:00~14:00,6 7 15,111
187,Required,HL107,5,Communication Skills,4,Aaron,25,,9:00~10:00 Tue-12:00~14:00,6 7 15,111
188,Required,HL107,6,Communication Skills,4,Aaron,25,,9:00~10:00 Tue-12:00~14:00,6 7 15,111
189,Required,HL107,7,Communication Skills,4,Aaron,25,,9:00~10:00 Tue-12:00~14:00,6 7 15,111
190,Required,HL107,8,Communication Skills,4,Unknown5,25,,9:00~10:00 Tue-12:00~14:00,6 7 15,111
191,Required,HL107,9,Communication Skills,4,Unknown5,25,,9:00~10:00 Tue-12:00~14:00,6 7 15,111
192,Required,HL203,1,English for Science Leaders I,4,Anna,25,,9:00~10:00 Mon-16:00~18:00 Tue-12:00~14:00 Wed-16:00~18:00,6 7 15,216
193,Required,HL203,2,English for Science Leaders I,4,Anna,25,,9:00~10:00 Mon-16:00~18:00 Tue-12:00~14:00 Wed-16:00~18:00,6 7 15,216
194,Required,HL203,3,English for Science Leaders I,4,Anna,25,,9:00~10:00 Mon-16:00~18:00 Tue-12:00~14:00 Wed-16:00~18:00,6 7 15,216
195,Required,HL203,4,English for Science Leaders I,4,Philip,25,,9:00~10:00 Mon-16:00~18:00 Tue-12:00~14:00 Wed-16:00~18:00,6 7 15,216
196,Required,HL203,5,English for Science Leaders I,4,Philip,25,,9:00~10:00 Mon-16:00~18:00 Tue-12:00~14:00 Wed-16:00~18:00,6 7 15,216
197,Required,HL203,6,English for Science Leaders I,4,Philip,25,,9:00~10:00 Mon-16:00~18:00 Tue-12:00~14:00 Wed-16:00~18:00,6 7 15,216
